Office Name,Pincode,"Delivery/
Non Delivery","Office
Type",Circle,Region,Division,Division ID,Region ID
Bengaluru G.P.O.,560001,Delivery,HO,Karnataka Circle,Bengaluru HQ Region,BG GPO,21530002,21610001
Fraser Town S.O,560005,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
J C Nagar S.O,560006,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Agram S.O,560007,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
H A L II Stage H.O,560008,Delivery,HO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Doorvaninagar S.O,560016,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Vimanapura S.O,560017,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
H A Farm S.O,560024,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Museum Road S.O,560025,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
R T Nagar H.O,560032,Delivery,HO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Maruthi Sevanagar S.O,560033,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Krishnarajapuram S.O,560036,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Marathahalli Colony S.O,560037,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Indiranagar S.O (Bengaluru),560038,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Sivan Chetty Gardens S.O,560042,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Kalyananagar S.O,560043,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Arabic College S.O,560045,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Benson Town S.O,560046,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Viveknagar S.O (Bengaluru),560047,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Mahadevapura S.O,560048,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Virgonagar S.O,560049,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
H K P Road S.O,560051,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
A F Station Yelahanka S.O,560063,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Yelahanka S.O,560064,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
G K V K S.O,560065,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Whitefield S.O,560066,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Kadugodi S.O,560067,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Domlur S.O,560071,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
New Thippasandra S.O,560075,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Dr. Shivarama Karanth Nagar S.O,560077,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Sadashivanagar S.O,560080,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
St. Thomas Town S.O,560084,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Vartur S.O,560087,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Sahakaranagar S.O,560092,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
C V Raman Nagar S.O,560093,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
R M V Extension II Stage S.O,560094,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Bellandur S.O,560103,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Horamavu S.O,560113,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Kannamangala S.O,560115,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Doddadunnasandra S.O,560117,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Bengaluru International Airport S.O,560300,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG East,21530001,21610001
Basavanagudi H.O,560004,Delivery,HO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Jayangar III Block S.O,560011,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Chamrajpet S.O (Bengaluru),560018,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Governmemnt Electric Factory S.O,560026,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Wilson Garden S.O,560027,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Dharmaram College S.O,560029,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Adugodi S.O,560030,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Koramangala S.O,560034,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Carmelram S.O,560035,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Jayanagar H.O,560041,Delivery,HO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Banashankari S.O,560050,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Chickpet S.O,560053,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Bnagalore Viswavidalaya S.O,560056,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Rv Niketan S.O,560059,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Kengeri S.O,560060,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Subramanyapura S.O,560061,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Doddakallasandra S.O,560062,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Bommanahalli S.O (Bengaluru),560068,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
B Sk II Stage S.O,560070,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Kumbalagodu S.O,560074,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Bannerghatta Road S.O,560076,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
J P Nagar S.O,560078,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Chandapura S.O,560081,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Udaypura S.O,560082,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Bannerghatta S.O,560083,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Banashankari III Stage S.O,560085,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Koramangala VI Bk S.O,560095,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Rajarajeshwarinagar S.O,560098,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Bommasandra Industrial Estate S.O,560099,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Electronics City S.O,560100,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
HSR Layout S.O,560102,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Jigani S.O,560105,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Anjanapura S.O,560108,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Thalaghattapura S.O,560109,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Ullalu Upanagar S.O,560110,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Kumaraswamy Layout S.O,560111,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Begur,560114,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Kaggalipura P.O,560116,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
CPC ITD BNPL booking HUB,560500,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Bengaluru City S.O,560002,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530003,21610001
Malleswaram S.O,560003,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
K. G. Road S.O,560009,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG South,21530004,21610001
Rajajinagar H.O,560010,Delivery,HO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Science Institute S.O,560012,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Jalahalli H.O,560013,Delivery,HO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Jalahalli West S.O,560015,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Seshadripuram S.O,560020,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Srirampuram S.O,560021,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Yeswanthpura S.O,560022,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Magadi Road S.O,560023,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Vijayanagar S.O (Bengaluru),560040,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Msrit S.O,560054,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Malleswaram West S.O,560055,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Peenya Dasarahalli S.O,560057,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Peenya Small Industries S.O,560058,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Nagarbhavi S.O,560072,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Nagasandra S.O (Bengaluru),560073,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Basaveshwaranagar S.O,560079,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Mahalakshmipuram Layout S.O,560086,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Hessarghatta S.O,560088,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Hessarghatta Lake S.O,560089,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Chikkabanavara S.O,560090,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Viswaneedam S.O,560091,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Nandinilayout S.O,560096,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Vidyaranyapura S.O,560097,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Hampinagar S.O,560104,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Achitnagar S.O,560107,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Kodigehalli S.O,560112,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG West,21530004,21610001
Kudur S.O,561101,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Veeregowdanadoddi S.O,561201,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Dodballapura S.O,561203,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG WEST,21530004,21610001
Doddabelavangala S.O,561204,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG WEST,21530004,21610001
Melekote S.O,561205,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG WEST,21530004,21610001
Anekal S.O,562106,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG SOUTH,21530003,21610001
